Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GWAScatalog	Neutrophil percentage of granulocytes	89	13	1.3934479613377564e-10	2.529108049828028e-07	RERE:TIRAP:STAT6:COG6:ITPKA:BPTF:RSPH6A:LPP:BAK1:RFX6:ELMO1:ZNF398:GKAP1	
GWAScatalog	Allergic disease (asthma, hay fever or eczema)	150	15	1.1045440604202345e-09	1.002373734831363e-06	RERE:STAT6:OIP5:NUSAP1:NDUFAF1:RTF1:ITPKA:IQGAP1:SLC9A4:LPP:FAM114A1:UGT3A1:IL13:ITPR3:ABCB5	
GWAScatalog	Eosinophil percentage of white cells	92	11	3.717076132750394e-08	2.119786882671962e-05	RERE:STAT6:COG6:NDUFAF1:BPTF:RSPH6A:LPP:BAK1:ELMO1:ZNF398:GKAP1	
GWAScatalog	Perceived unattractiveness to mosquitoes	9	5	5.530801182749367e-08	2.119786882671962e-05	STAT6:CDC42SE2:RAPGEF6:ACSL6:IL3	
GWAScatalog	Eosinophil percentage of granulocytes	96	11	5.8396332855976916e-08	2.119786882671962e-05	RERE:TIRAP:STAT6:COG6:RTF1:BPTF:RSPH6A:LPP:ELMO1:ZNF398:GKAP1	
GWAScatalog	Hodgkin's lymphoma	14	5	8.324988213348483e-07	0.00022663474187480524	LPP:IL13:ITPR3:UQCC2:IP6K3	
GWAScatalog	Eosinophil counts	125	11	8.961380192427813e-07	0.00022663474187480524	RERE:STAT6:COG6:BPTF:LPP:RAPGEF6:FNIP1:BAK1:ABCB5:ELMO1:ZNF398	
GWAScatalog	Ulcerative colitis	248	15	9.989410110184252e-07	0.00022663474187480524	OIP5:NUSAP1:NDUFAF1:RTF1:ITPKA:HINT1:CDC42SE2:RAPGEF6:FNIP1:ACSL6:IL3:CSF2:IRF1:IRF5:NOTCH1	
GWAScatalog	Sum eosinophil basophil counts	111	10	2.3951170741059304e-06	0.0004830152766113626	RERE:STAT6:COG6:BPTF:LPP:RAPGEF6:FNIP1:BAK1:ELMO1:ZNF398	
GWAScatalog	Itch intensity from mosquito bite	31	6	3.31760397276307e-06	0.0006021451210564972	STAT6:RTF1:LPP:CDC42SE2:FNIP1:IRF1	
GWAScatalog	Alzheimer's disease in APOE e4- carriers	17	4	7.239609087100576e-05	0.011945354993715952	CDC42SE2:RAPGEF6:FNIP1:ACSL6	
GWAScatalog	Asthma or allergic disease (pleiotropy)	86	7	0.00016973305675412013	0.02567212483406067	RERE:STAT6:SLC9A4:FAM114A1:UGT3A1:IRF1:IL13	
GWAScatalog	Asthma	151	9	0.00021451481469331114	0.029949568359104596	RERE:STAT6:COG6:ITPKA:LPP:IRF1:IL13:TCP11:ABCB5	
GWAScatalog	Chronic obstructive pulmonary disease or coronary artery disease (pleiotropy)	10	3	0.00029230139443126783	0.035368468726183405	SIX5:DMWD:RSPH6A	
GWAScatalog	IgE levels	10	3	0.00029230139443126783	0.035368468726183405	STAT6:LPP:IL13	
Positional_gene_sets	chr5q31	55	8	6.837385352080627e-07	0.00020443782202721075	CDC42SE2:RAPGEF6:FNIP1:ACSL6:IL3:CSF2:IRF1:IL13	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr5q31
Positional_gene_sets	chr15q15	23	5	1.2695089078239276e-05	0.0018979158171967719	OIP5:NUSAP1:NDUFAF1:RTF1:ITPKA	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr15q15
Positional_gene_sets	chr7q36	19	4	0.00011544582755564214	0.010403160673607527	ZNF786:ZNF398:ZNF282:ZNF212	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr7q36
Positional_gene_sets	chr17q24	8	3	0.00013917271804157226	0.010403160673607527	BPTF:C17orf58:KPNA2	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr17q24
BioCarta	BIOCARTA_DC_PATHWAY	6	3	5.071325558672605e-05	0.014656130864563828	IL3:CSF2:IL13	http://www.gsea-msigdb.org/gsea/msigdb/cards/BIOCARTA_DC_PATHWAY
