,Category,GeneSet,N_genes,N_overlap,p,adjP,genes,link,corrected_P
0,GO_bp,GO_INFLAMMATORY_RESPONSE,194,22,1.043247128145773e-09,7.667866391871433e-06,GATA3:IL4R:ALOX15:GPX4:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:IL5RA:CD200:CD200R1:TLR6:IL2:TSLP:CAMK4:IL5:TNIP1:IL6:CCL24:JAK2:IL33,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_INFLAMMATORY_RESPONSE,0.00017636092701304296
1,GO_bp,GO_CYTOKINE_PRODUCTION,233,23,6.479068550443936e-09,2.3810576922881468e-05,GATA3:KAT5:LRRC32:ELF1:GPR18:SOCS1:IL4R:POLR2E:CLC:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:IL5RA:CD200:CD200R1:TLR6:IL2:TSLP:IL6:JAK2:IL33,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYTOKINE_PRODUCTION,0.0005476432692262738
2,GO_bp,GO_REGULATION_OF_INFLAMMATORY_RESPONSE,101,15,1.60100199917862e-08,3.922454897987619e-05,GATA3:GPX4:IL1R1:IL1RL2:IL1RL1:CD200:CD200R1:TLR6:IL2:TSLP:TNIP1:IL6:CCL24:JAK2:IL33,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_INFLAMMATORY_RESPONSE,0.0009021646265371524
3,GO_bp,GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,36,9,1.3671532855998588e-07,0.0002386619504159,IL1RL1:TLR6:IL2:TSLP:TNIP1:IL6:CCL24:JAK2:IL33,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.0054892248595657
4,GO_bp,GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,471,31,1.8578924392356495e-07,0.0002386619504159,JAK1:GATA3:LMO2:LRRC32:ELF1:GPR18:GPR183:SOCS1:IL4R:ALOX15:CLC:BAX:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:ACVR2A:GCSAM:CD200:CD200R1:TLR6:IL2:TSLP:CAMK4:IL5:TNIP1:IL6:CCL24:JAK2:IL33,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.0054892248595657
5,GO_bp,GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,237,21,2.157538225963769e-07,0.0002386619504159,JAK1:GATA3:ELF1:SOCS1:IL4R:ALOX15:IL1R1:IL1RL2:IL1RL1:IL18R1:IL18RAP:STAT4:IL5RA:IL2:TSLP:IL5:IL6:CCL24:JAK2:IL33:TNFSF8,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.0054892248595657
6,GO_bp,GO_CELL_ACTIVATION,399,28,2.2729709563421518e-07,0.0002386619504159,GATA3:APBB1IP:LRRC32:GPR18:GPR183:CRTC3:SOCS1:IL4R:SERPINB12:CLC:BAX:ADRA2B:ASTL:IL1RL2:IL1RL1:IL18R1:IL18RAP:GLB1:CD200:TLR6:IL2:TSLP:CAMK4:IL5:IL6:JAK2:IL33:TNFSF8,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_ACTIVATION,0.0054892248595657
7,GO_bp,GO_T_CELL_CYTOKINE_PRODUCTION,13,6,3.004137530623314e-07,0.000276005135626,GATA3:CLC:IL1R1:IL18R1:IL18RAP:IL6,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_T_CELL_CYTOKINE_PRODUCTION,0.006348118119398001
8,GO_bp,GO_ALPHA_BETA_T_CELL_DIFFERENTIATION,40,9,3.654369907746758e-07,0.0002984402091326,GATA3:GPR18:GPR183:SOCS1:IL4R:IL18R1:IL2:IL6:TNFSF8,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.0068641248100498
9,GO_bp,GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION,8,5,4.492687419458046e-07,0.0003302125253301,GATA3:IL1R1:IL18R1:IL18RAP:IL6,http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION,0.0075948880825922995
