ensg	entrez	symbol
ENSG00000065000	8943	AP3D1
ENSG00000066933	4649	MYO9A
ENSG00000067225	5315	PKM
ENSG00000082014	6604	SMARCD3
ENSG00000086015	23139	MAST2
ENSG00000092621	26227	PHGDH
ENSG00000100307	23492	CBX7
ENSG00000101665	4092	SMAD7
ENSG00000103066	23659	PLA2G15
ENSG00000103067	80004	ESRP2
ENSG00000104885	84444	DOT1L
ENSG00000106366	5054	SERPINE1
ENSG00000117448	10327	AKR1A1
ENSG00000117461	8503	PIK3R3
ENSG00000125434	399512	SLC25A35
ENSG00000125618	7849	PAX8
ENSG00000126460	5639	PRRG2
ENSG00000126464	57479	PRR12
ENSG00000131183	6569	SLC34A1
ENSG00000132510	23135	KDM6B
ENSG00000132780	4678	NASP
ENSG00000134030	9811	CTIF
ENSG00000137817	56965	PARP6
ENSG00000139218	9169	SCAF11
ENSG00000141376	54828	BCAS3
ENSG00000142546	51070	NOSIP
ENSG00000145332	57563	KLHL8
ENSG00000159588	149483	CCDC17
ENSG00000159592	60313	GPBP1L1
ENSG00000159596	51249	TMEM69
ENSG00000159761	388284	C16orf86
ENSG00000163481	64320	RNF25
ENSG00000163482	27148	STK36
ENSG00000163946	23272	FAM208A
ENSG00000163947	50650	ARHGEF3
ENSG00000166192	123228	SENP8
ENSG00000166441	6157	RPL27A
ENSG00000166444	6764	ST5
ENSG00000167528	121274	ZNF641
ENSG00000168291	5162	PDHB
ENSG00000168297	54899	PXK
ENSG00000169220	10636	RGS14
ENSG00000169223	10960	LMAN2
ENSG00000169758	123591	C15orf27
ENSG00000174547	65003	MRPL11
ENSG00000175318	196996	GRAMD2
ENSG00000175352	56675	NRIP3
ENSG00000177728	9772	KIAA0195
ENSG00000178921	5198	PFAS
ENSG00000178999	9212	AURKB
ENSG00000179094	5187	PER1
ENSG00000180376	285331	CCDC66
ENSG00000188038	123904	NRN1L
ENSG00000189079	196528	ARID2
ENSG00000197429	3652	IPP
ENSG00000198844	22899	ARHGEF15
ENSG00000205220	5699	PSMB10
ENSG00000213398	3931	LCAT
ENSG00000269282	NA	AC024257.1
ENSG00000273025	60677	CELF6
ENSG00000027869	9047	SH2D2A
ENSG00000049656	81037	CLPTM1L
ENSG00000073849	6480	ST6GAL1
ENSG00000074800	2023	ENO1
ENSG00000075239	38	ACAT1
ENSG00000078487	55063	ZCWPW1
ENSG00000080031	5794	PTPRH
ENSG00000085365	9522	SCAMP1
ENSG00000085514	29992	PILRA
ENSG00000100241	6305	SBF1
ENSG00000101246	10139	ARFRP1
ENSG00000103485	23475	QPRT
ENSG00000105717	80714	PBX4
ENSG00000105939	56829	ZC3HAV1
ENSG00000108264	6871	TADA2A
ENSG00000108515	2027	ENO3
ENSG00000108518	5216	PFN1
ENSG00000108556	1145	CHRNE
ENSG00000111897	57515	SERINC1
ENSG00000112511	5252	PHF1
ENSG00000112514	51596	CUTA
ENSG00000113249	26762	HAVCR1
ENSG00000114859	1181	CLCN2
ENSG00000116688	9927	MFN2
ENSG00000117360	9129	PRPF3
ENSG00000121716	29990	PILRB
ENSG00000130702	3911	LAMA5
ENSG00000136929	55363	HEMGN
ENSG00000136932	51531	C9orf156
ENSG00000138798	1950	EGF
ENSG00000143374	80222	TARS2
ENSG00000146834	56257	MEPCE
ENSG00000147889	1029	CDKN2A
ENSG00000151617	1909	EDNRA
ENSG00000156110	132	ADK
ENSG00000160813	221908	PPP1R35
ENSG00000161326	11072	DUSP14
ENSG00000163125	23248	RPRD2
ENSG00000163872	55689	YEATS2
ENSG00000163964	54965	PIGX
ENSG00000165633	196740	VSTM4
ENSG00000166925	81628	TSC22D4
ENSG00000166963	4130	MAP1A
ENSG00000171840	4815	NINJ2
ENSG00000172273	25988	HINFP
ENSG00000172538	170370	FAM170B
ENSG00000175182	131408	FAM131A
ENSG00000175193	55486	PARL
ENSG00000177535	127623	OR2B11
ENSG00000186038	285242	HTR3E
ENSG00000186090	200909	HTR3D
ENSG00000186354	286223	C9orf47
ENSG00000197471	6693	SPN
ENSG00000198400	4914	NTRK1
ENSG00000203896	54923	LIME1
ENSG00000204161	170371	C10orf128
ENSG00000204220	10471	PFDN6
ENSG00000205710	100130311	C17orf107
ENSG00000205808	403313	PPAPDC2
ENSG00000213588	221504	ZBTB9
ENSG00000224854	51198	C9orf53
ENSG00000231925	6892	TAPBP
ENSG00000236104	9278	ZBTB22
ENSG00000237441	5863	RGL2
ENSG00000253350	NA	RP11-127H5.1
ENSG00000262664	124641	OVCA2
ENSG00000264545	NA	RP11-145E5.5
ENSG00000269042	NA	AP001925.1
ENSG00000273047	NA	RP4-583P15.14
ENSG00000011376	23395	LARS2
ENSG00000023892	50619	DEF6
ENSG00000054267	51742	ARID4B
ENSG00000065029	7629	ZNF76
ENSG00000065600	55248	TMEM206
ENSG00000066027	5525	PPP2R5A
ENSG00000067208	7813	EVI5
ENSG00000068489	55771	PRR11
ENSG00000069275	64710	NUCKS1
ENSG00000069702	7049	TGFBR3
ENSG00000070808	815	CAMK2A
ENSG00000075413	4140	MARK3
