"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0042438",6.75392425265531e-06,38.9649122807018,0.344234079173838,5,8,"melanin biosynthetic process"
"2","GO:0043473",7.30368751213925e-06,10.6570048309179,1.11876075731497,8,26,"pigmentation"
"3","GO:0006582",1.46785670035155e-05,29.2105263157895,0.387263339070568,5,9,"melanin metabolic process"
"4","GO:0044550",1.46785670035155e-05,29.2105263157895,0.387263339070568,5,9,"secondary metabolite biosynthetic process"
"5","GO:0019748",4.60180999482043e-05,12.8413926499033,0.731497418244406,6,17,"secondary metabolic process"
"6","GO:0051591",5.62278688650323e-05,9.22461170848268,1.07573149741824,7,25,"response to cAMP"
"7","GO:0046189",8.31639965610587e-05,16.6691729323308,0.516351118760757,5,12,"phenol-containing compound biosynthetic process"
"8","GO:0046148",0.000196181851406874,12.953216374269,0.602409638554217,5,14,"pigment biosynthetic process"
"9","GO:0048066",0.000196181851406874,12.953216374269,0.602409638554217,5,14,"developmental pigmentation"
"10","GO:0046683",0.000248469181563009,6.89964157706093,1.33390705679862,7,31,"response to organophosphorus"
"11","GO:0042440",0.000284288156940639,11.6526315789474,0.645438898450947,5,15,"pigment metabolic process"
"12","GO:0018958",0.000303936517074993,8.28660826032541,0.989672977624785,6,23,"phenol-containing compound metabolic process"
"13","GO:0014074",0.000456938747299812,6.12465153325368,1.46299483648881,7,34,"response to purine-containing compound"
"14","GO:0043588",0.000595834220274064,5.00228832951945,1.97934595524957,8,46,"skin development"
"15","GO:0008544",0.00120148877447995,3.97435897435897,2.71084337349398,9,63,"epidermis development"
"16","GO:0032438",0.00140711284715964,22.8969072164948,0.258175559380379,3,6,"melanosome organization"
"17","GO:0001942",0.00171050897776844,10.2546296296296,0.559380378657487,4,13,"hair follicle development"
"18","GO:0098773",0.00171050897776844,10.2546296296296,0.559380378657487,4,13,"skin epidermis development"
"19","GO:0006583",0.00183379110192692,Inf,0.0860585197934595,2,2,"melanin biosynthetic process from tyrosine"
"20","GO:0060022",0.00183379110192692,Inf,0.0860585197934595,2,2,"hard palate development"
"21","GO:2000678",0.00183379110192692,Inf,0.0860585197934595,2,2,"negative regulation of transcription regulatory region DNA binding"
"22","GO:0022404",0.00231623982831307,9.225,0.602409638554217,4,14,"molting cycle process"
"23","GO:0022405",0.00231623982831307,9.225,0.602409638554217,4,14,"hair cycle process"
"24","GO:0048753",0.00238568878695319,17.1649484536082,0.301204819277108,3,7,"pigment granule organization"
"25","GO:0030318",0.00369834050075482,13.7257731958763,0.344234079173838,3,8,"melanocyte differentiation"
"26","GO:0032501",0.00416798568646502,1.80201580093966,55.8519793459553,69,1298,"multicellular organismal process"
"27","GO:0007411",0.00495665251599067,3.13574660633484,3.31325301204819,9,77,"axon guidance"
"28","GO:0097485",0.00495665251599067,3.13574660633484,3.31325301204819,9,77,"neuron projection guidance"
"29","GO:0048023",0.00534658301466206,45.3673469387755,0.129087779690189,2,3,"positive regulation of melanin biosynthetic process"
"30","GO:1900378",0.00534658301466206,45.3673469387755,0.129087779690189,2,3,"positive regulation of secondary metabolite biosynthetic process"
"31","GO:0009072",0.00537523984037818,11.4329896907216,0.387263339070568,3,9,"aromatic amino acid family metabolic process"
"32","GO:0098656",0.00561335822290984,4.23791102514507,1.67814113597246,6,39,"anion transmembrane transport"
"33","GO:0042303",0.00619968967423276,6.57738095238095,0.774526678141136,4,18,"molting cycle"
"34","GO:0042633",0.00619968967423276,6.57738095238095,0.774526678141136,4,18,"hair cycle"
"35","GO:0050877",0.00631327802010557,2.23020408163265,8.21858864027539,16,191,"nervous system process"
"36","GO:0030216",0.00695362011826752,4.82456140350877,1.24784853700516,5,29,"keratinocyte differentiation"
"37","GO:0035264",0.0072160472651235,3.99209726443769,1.76419965576592,6,41,"multicellular organism growth"
"38","GO:0050931",0.00744091491705588,9.79528718703977,0.430292598967298,3,10,"pigment cell differentiation"
"39","GO:0048667",0.00890355446530288,2.33058843712472,6.32530120481928,13,147,"cell morphogenesis involved in neuron differentiation"
"40","GO:0006570",0.0103932890176846,22.6734693877551,0.172117039586919,2,4,"tyrosine metabolic process"
"41","GO:0006622",0.0103932890176846,22.6734693877551,0.172117039586919,2,4,"protein targeting to lysosome"
"42","GO:0043455",0.0103932890176846,22.6734693877551,0.172117039586919,2,4,"regulation of secondary metabolic process"
"43","GO:0048021",0.0103932890176846,22.6734693877551,0.172117039586919,2,4,"regulation of melanin biosynthetic process"
"44","GO:0060346",0.0103932890176846,22.6734693877551,0.172117039586919,2,4,"bone trabecula formation"
"45","GO:1900376",0.0103932890176846,22.6734693877551,0.172117039586919,2,4,"regulation of secondary metabolite biosynthetic process"
"46","GO:0007601",0.0121273992022287,4.12781954887218,1.41996557659208,5,33,"visual perception"
"47","GO:0050953",0.0121273992022287,4.12781954887218,1.41996557659208,5,33,"sensory perception of light stimulus"
"48","GO:0048666",0.0121899636382105,1.93909465020576,11.144578313253,19,259,"neuron development"
"49","GO:0033059",0.0128115715916355,7.61168384879725,0.516351118760757,3,12,"cellular pigmentation"
"50","GO:0050856",0.0128115715916355,7.61168384879725,0.516351118760757,3,12,"regulation of T cell receptor signaling pathway"
"51","GO:0060411",0.0129854583584827,5.10648148148148,0.946643717728055,4,22,"cardiac septum morphogenesis"
