"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0045934",0.000677130679953268,0.390686661404893,24.6196213425129,11,298,"negative regulation of nucleobase-containing compound metabolic process"
"2","GO:0051253",0.00127144098686107,0.408679638081512,23.710843373494,11,287,"negative regulation of RNA metabolic process"
"3","GO:0006996",0.0014161677896532,0.583554246921068,59.3184165232358,41,718,"organelle organization"
"4","GO:0001667",0.00167170920654089,0.10866545571108,8.1790017211704,1,99,"ameboidal-type cell migration"
"5","GO:0010558",0.00185327316253714,0.445227107116833,25.776247848537,13,312,"negative regulation of macromolecule biosynthetic process"
"6","GO:0090130",0.00198792765599327,0,5.8657487091222,0,71,"tissue migration"
"7","GO:0010631",0.00217303052211874,0,5.78313253012048,0,70,"epithelial cell migration"
"8","GO:0090132",0.00217303052211874,0,5.78313253012048,0,70,"epithelium migration"
"9","GO:2000113",0.00267845982123086,0.457641386699319,25.197934595525,13,305,"negative regulation of cellular macromolecule biosynthetic process"
"10","GO:1902679",0.00275347334751184,0.433764919235798,22.5542168674699,11,273,"negative regulation of RNA biosynthetic process"
"11","GO:1903507",0.00275347334751184,0.433764919235798,22.5542168674699,11,273,"negative regulation of nucleic acid-templated transcription"
"12","GO:0034329",0.00293083668533352,0.117427075542259,7.60068846815835,1,92,"cell junction assembly"
"13","GO:0045892",0.0032349960081014,0.439493163250069,22.3063683304647,11,270,"negative regulation of transcription, DNA-templated"
"14","GO:0055114",0.00464611010663684,0.298172010788133,12.0619621342513,4,146,"oxidation-reduction process"
"15","GO:0003013",0.00474387727215672,0.257040450588838,10.4922547332186,3,127,"circulatory system process"
"16","GO:0031327",0.00527667518141558,0.503781814166621,26.6024096385542,15,322,"negative regulation of cellular biosynthetic process"
"17","GO:0009890",0.00696952202503685,0.524386724386724,27.3459552495697,16,331,"negative regulation of biosynthetic process"
"18","GO:0008015",0.00712542087528772,0.270917406510627,9.99655765920826,3,121,"blood circulation"
"19","GO:0016042",0.00752495592762276,0,4.62650602409639,0,56,"lipid catabolic process"
"20","GO:0010632",0.00822057053431684,0,4.54388984509466,0,55,"regulation of epithelial cell migration"
"21","GO:0043542",0.00980945589572662,0,4.37865748709122,0,53,"endothelial cell migration"
"22","GO:0010975",0.00994409364911924,0.283607248209018,9.58347676419966,3,116,"regulation of neuron projection development"
"23","GO:0031344",0.0102378827089292,0.363709618342979,12.4750430292599,5,151,"regulation of cell projection organization"
"24","GO:0120035",0.0102378827089292,0.363709618342979,12.4750430292599,5,151,"regulation of plasma membrane bounded cell projection organization"
"25","GO:0016458",0.0127828296592908,0,4.13080895008606,0,50,"gene silencing"
"26","GO:0003008",0.0130423666411844,0.568965517241379,28.5851979345955,18,346,"system process"
"27","GO:0045664",0.0168670931984779,0.417246468479865,13.1359724612737,6,159,"regulation of neuron differentiation"
"28","GO:0031346",0.0173772907578637,0.247428917120387,7.35283993115318,2,89,"positive regulation of cell projection organization"
"29","GO:0003015",0.0176211956051077,0.158915922389898,5.70051635111876,1,69,"heart process"
"30","GO:0010976",0.0176211956051077,0.158915922389898,5.70051635111876,1,69,"positive regulation of neuron projection development"
"31","GO:0050890",0.0190109143145684,0.161365945143393,5.61790017211704,1,68,"cognition"
"32","GO:0071840",0.0194121152874463,0.722371967654987,94.1824440619621,80,1140,"cellular component organization or biogenesis"
"33","GO:0009792",0.0217724963112007,0.401873668127538,11.4010327022375,5,138,"embryo development ending in birth or egg hatching"
"34","GO:0060047",0.0221144026469488,0.166492146596859,5.4526678141136,1,66,"heart contraction"
"35","GO:1903522",0.0221144026469488,0.166492146596859,5.4526678141136,1,66,"regulation of blood circulation"
"36","GO:0016043",0.0237632491466593,0.731319959913713,92.6127366609294,79,1121,"cellular component organization"
"37","GO:0051276",0.0245037317014031,0.545977011494253,20.15834767642,12,244,"chromosome organization"
"38","GO:0043009",0.0257627220178225,0.411764705882353,11.1531841652324,5,135,"chordate embryonic development"
"39","GO:0032200",0.0258507109017445,0,3.46987951807229,0,42,"telomere organization"
"40","GO:1901888",0.0258507109017445,0,3.46987951807229,0,42,"regulation of cell junction assembly"
"41","GO:0007599",0.0261794512837806,0.266536712150747,6.85714285714286,2,83,"hemostasis"
"42","GO:0022607",0.0263100083289479,0.669867947178872,41.8864027538726,31,507,"cellular component assembly"
"43","GO:0044085",0.026919289541872,0.677433962264151,44.0344234079174,33,533,"cellular component biogenesis"
"44","GO:0007611",0.0277011815244221,0.174801553791589,5.20481927710843,1,63,"learning or memory"
"45","GO:1903311",0.0277011815244221,0.174801553791589,5.20481927710843,1,63,"regulation of mRNA metabolic process"
"46","GO:0007596",0.028005334248605,0.27,6.77452667814114,2,82,"blood coagulation"
"47","GO:0050817",0.028005334248605,0.27,6.77452667814114,2,82,"coagulation"
"48","GO:0031324",0.0281346203586494,0.673506827056634,41.7211703958692,31,505,"negative regulation of cellular metabolic process"
"49","GO:0010594",0.0282243773260079,0,3.38726333907057,0,41,"regulation of endothelial cell migration"
"50","GO:0010634",0.0282243773260079,0,3.38726333907057,0,41,"positive regulation of epithelial cell migration"
"51","GO:0000003",0.0292080754981942,0.55672514619883,19.8278829604131,12,240,"reproduction"
"52","GO:0022414",0.0292080754981942,0.55672514619883,19.8278829604131,12,240,"reproductive process"
"53","GO:0051172",0.0302854390111345,0.670660572871632,39.3253012048193,29,476,"negative regulation of nitrogen compound metabolic process"
"54","GO:0000723",0.0308147599486626,0,3.30464716006885,0,40,"telomere maintenance"
"55","GO:0007416",0.0308147599486626,0,3.30464716006885,0,40,"synapse assembly"
"56","GO:0003012",0.0314578434605384,0.340350877192982,8.09638554216867,3,98,"muscle system process"
"57","GO:0043632",0.0314578434605384,0.340350877192982,8.09638554216867,3,98,"modification-dependent macromolecule catabolic process"
"58","GO:0071407",0.0321259674861209,0.425685425685426,10.8227194492255,5,131,"cellular response to organic cyclic compound"
"59","GO:0006511",0.0334541480507486,0.344140493076663,8.01376936316695,3,97,"ubiquitin-dependent protein catabolic process"
"60","GO:0019941",0.0334541480507486,0.344140493076663,8.01376936316695,3,97,"modification-dependent protein catabolic process"
"61","GO:0006941",0.0336415320031983,0,3.22203098106713,0,39,"striated muscle contraction"
