"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0055071",0.00084391436973526,Inf,0.0585197934595525,2,2,"manganese ion homeostasis"
"2","GO:0071578",0.00084391436973526,Inf,0.0585197934595525,2,2,"zinc ion import across plasma membrane"
"3","GO:0034329",0.00115147333512684,3.99366959362875,2.69191049913941,9,92,"cell junction assembly"
"4","GO:0034650",0.001208301155763,20.7784615384615,0.23407917383821,3,8,"cortisol metabolic process"
"5","GO:0007043",0.00149314369598171,7.08253968253968,0.877796901893287,5,30,"cell-cell junction assembly"
"6","GO:0071375",0.00156488277318629,3.80303915838691,2.80895008605852,9,96,"cellular response to peptide hormone stimulus"
"7","GO:0006704",0.00248224103304927,14.8285714285714,0.292598967297762,3,10,"glucocorticoid biosynthetic process"
"8","GO:0008211",0.00248224103304927,14.8285714285714,0.292598967297762,3,10,"glucocorticoid metabolic process"
"9","GO:1902644",0.00248224103304927,14.8285714285714,0.292598967297762,3,10,"tertiary alcohol metabolic process"
"10","GO:0003084",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"positive regulation of systemic arterial blood pressure"
"11","GO:0006829",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"zinc ion transport"
"12","GO:0015691",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"cadmium ion transport"
"13","GO:0070574",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"cadmium ion transmembrane transport"
"14","GO:0071421",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"manganese ion transmembrane transport"
"15","GO:0071577",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"zinc ion transmembrane transport"
"16","GO:1902855",0.00248376864891075,68.3333333333333,0.0877796901893287,2,3,"regulation of non-motile cilium assembly"
"17","GO:0051301",0.0029379119172919,3.43220338983051,3.07228915662651,9,105,"cell division"
"18","GO:0043434",0.00321480807038347,3.15207780725022,3.71600688468158,10,127,"response to peptide hormone"
"19","GO:0006700",0.00334195299806677,12.9692307692308,0.321858864027539,3,11,"C21-steroid hormone biosynthetic process"
"20","GO:0030850",0.00334195299806677,12.9692307692308,0.321858864027539,3,11,"prostate gland development"
"21","GO:0042733",0.00436318360146556,11.5230769230769,0.351118760757315,3,12,"embryonic digit morphogenesis"
