,randomized_GNM,number_of_clusters
0,1,24
1,2,24
2,3,24
3,4,24
4,5,26
5,6,23
6,7,23
7,8,24
8,9,25
9,10,24
10,11,23
11,12,25
12,13,25
13,14,24
14,15,24
15,16,24
16,17,26
17,18,24
18,19,21
19,20,22
20,21,24
21,22,24
22,23,25
23,24,24
24,25,24
25,26,24
26,27,25
27,28,25
28,29,23
29,30,24
30,31,24
31,32,25
32,33,24
33,34,26
34,35,27
35,36,24
36,37,24
37,38,25
38,39,21
39,40,25
40,41,23
41,42,23
42,43,25
43,44,25
44,45,25
45,46,24
46,47,24
47,48,25
48,49,23
49,50,25
50,51,25
51,52,26
52,53,25
53,54,24
54,55,24
55,56,25
56,57,24
57,58,24
58,59,24
59,60,22
60,61,22
61,62,24
62,63,24
63,64,23
64,65,23
65,66,24
66,67,24
67,68,25
68,69,22
69,70,23
70,71,23
71,72,23
72,73,24
73,74,25
74,75,23
75,76,23
76,77,23
77,78,24
78,79,24
79,80,24
80,81,24
81,82,24
82,83,24
83,84,25
84,85,25
85,86,24
86,87,24
87,88,25
88,89,25
89,90,24
90,91,24
91,92,24
92,93,26
93,94,25
94,95,24
95,96,26
96,97,24
97,98,26
98,99,24
99,100,26
