,randomized_GNM,number_of_clusters
0,1,24
1,2,24
2,3,27
3,4,27
4,5,26
5,6,28
6,7,25
7,8,28
8,9,28
9,10,18
10,11,29
11,12,27
12,13,27
13,14,30
14,15,24
15,16,26
16,17,26
17,18,27
18,19,29
19,20,21
20,21,27
21,22,29
22,23,27
23,24,25
24,25,24
25,26,28
26,27,26
27,28,30
28,29,29
29,30,29
30,31,27
31,32,27
32,33,29
33,34,29
34,35,26
35,36,28
36,37,23
37,38,32
38,39,22
39,40,25
40,41,31
41,42,23
42,43,30
43,44,26
44,45,31
45,46,26
46,47,29
47,48,25
48,49,23
49,50,24
50,51,29
51,52,29
52,53,31
53,54,23
54,55,30
55,56,30
56,57,26
57,58,29
58,59,28
59,60,25
60,61,26
61,62,26
62,63,24
63,64,28
64,65,27
65,66,27
66,67,28
67,68,28
68,69,26
69,70,26
70,71,27
71,72,27
72,73,27
73,74,25
74,75,27
75,76,27
76,77,26
77,78,31
78,79,23
79,80,31
80,81,21
81,82,26
82,83,26
83,84,27
84,85,23
85,86,27
86,87,28
87,88,19
88,89,26
89,90,29
90,91,32
91,92,26
92,93,27
93,94,30
94,95,25
95,96,27
96,97,28
97,98,24
98,99,27
99,100,31
